deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,100,0,0,60000,0,0,0,0,0,0,0,0,0,STORMS,1950-08-20,1950-08-25,1950-08-25
2,0,0,0,0,0,60000,0,0,0,1000000,0,0,0,0,0,STORMS,1950-09-01,1950-09-06,1950-09-06
2,400,0,0,2180,2000,70725,0,0,0,199999000,0,1,0,0,0,STORMS,1989-09-17,1989-09-22,1989-09-22
2,167,0,797,2769,12536,70326,0,0,500000000,0,46,8,0,0,0,STORMS,1995-09-04,1995-09-09,1995-09-09
0,0,0,0,5,0,69025,0,0,0,0,0,0,0,0,0,STORMS,1996-07-07,1996-07-12,1996-07-12
3,15,0,372,3844,6748,76936,0,6200,59400000,0,0,2,0,0,0,STORMS,1998-09-20,1998-09-25,1998-09-25
1,15,1,144,276,1070,75913,43,2000,0,0,40,1,0,0,0,STORMS,1999-10-20,1999-10-25,1999-10-25
1,0,0,143,276,553,76886,0,0,51328679,136021000,0,0,0,0,0,STORMS,1999-11-14,1999-11-19,1999-11-19
0,0,0,9,2079,7622,16146,0,196,54000000,0,0,0,0,0,804,STORMS,2008-10-15,2008-10-20,2008-10-20
0,0,0,0,0,0,81799,0,0,0,0,0,0,0,0,0,STORMS,2011-09-08,2011-09-13,2011-09-13
0,0,0,0,0,0,81799,0,0,0,0,0,0,0,0,0,STORMS,2011-09-28,2011-10-03,2011-10-03
0,0,0,0,0,0,78674,0,0,0,0,0,0,0,0,0,STORMS,2012-08-22,2012-08-27,2012-08-27
